vds	Id(M1)
Step Information: Vgs=4.363  (Step: 4/6)
3.649999999999995e+00	3.509486e-01
3.699999999999995e+00	3.514074e-01
3.749999999999995e+00	3.518661e-01
3.799999999999994e+00	3.523248e-01
3.849999999999994e+00	3.527835e-01
3.899999999999994e+00	3.532421e-01
3.949999999999994e+00	3.537007e-01
3.999999999999994e+00	3.541592e-01
4.049999999999994e+00	3.546177e-01
4.099999999999993e+00	3.550762e-01
4.149999999999993e+00	3.555346e-01
4.199999999999993e+00	3.559929e-01
4.249999999999993e+00	3.564513e-01
4.299999999999993e+00	3.569096e-01
4.349999999999993e+00	3.573678e-01
4.399999999999992e+00	3.578260e-01
4.449999999999992e+00	3.582842e-01
4.499999999999992e+00	3.587423e-01
4.549999999999992e+00	3.592004e-01
4.599999999999992e+00	3.596585e-01
4.649999999999991e+00	3.601165e-01
4.699999999999991e+00	3.605745e-01
4.749999999999991e+00	3.610324e-01
4.799999999999991e+00	3.614903e-01
4.849999999999991e+00	3.619481e-01
4.899999999999991e+00	3.624059e-01
4.949999999999990e+00	3.628637e-01
4.999999999999990e+00	3.633214e-01
5.049999999999990e+00	3.637791e-01
5.099999999999990e+00	3.642367e-01
5.149999999999990e+00	3.646944e-01
5.199999999999990e+00	3.651519e-01
5.249999999999989e+00	3.656094e-01
5.299999999999989e+00	3.660669e-01
5.349999999999989e+00	3.665244e-01
5.399999999999989e+00	3.669818e-01
5.449999999999989e+00	3.674391e-01
5.499999999999988e+00	3.678965e-01
5.549999999999988e+00	3.683537e-01
5.599999999999988e+00	3.688110e-01
5.649999999999988e+00	3.692682e-01
5.699999999999988e+00	3.697253e-01
5.749999999999988e+00	3.701825e-01
5.799999999999987e+00	3.706395e-01
5.849999999999987e+00	3.710966e-01
5.899999999999987e+00	3.715536e-01
5.949999999999987e+00	3.720105e-01
5.999999999999987e+00	3.724675e-01
6.049999999999986e+00	3.729243e-01
6.099999999999986e+00	3.733812e-01
6.149999999999986e+00	3.738380e-01
6.199999999999986e+00	3.742947e-01
6.249999999999986e+00	3.747514e-01
6.299999999999986e+00	3.752081e-01
6.349999999999985e+00	3.756648e-01
6.399999999999985e+00	3.761214e-01
6.449999999999985e+00	3.765779e-01
6.499999999999985e+00	3.770345e-01
6.549999999999985e+00	3.774909e-01
6.599999999999985e+00	3.779474e-01
6.649999999999984e+00	3.784038e-01
6.699999999999984e+00	3.788601e-01
6.749999999999984e+00	3.793164e-01
