Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000399999990,,Second,Volt
,,,-0.40067997575,-0.00056,
,,,-0.40063998103,-0.00072,
,,,-0.40059998631,-0.00056,
,,,-0.40055999160,-0.00072,
,,,-0.40051999688,-0.00056,
,,,-0.40048000216,-0.00064,
,,,-0.40043997765,-0.00072,
,,,-0.40039998293,-0.00072,
,,,-0.40035998821,-0.00056,
,,,-0.40031999350,-0.00056,
,,,-0.40027999878,-0.00056,
,,,-0.40024000406,-0.00056,
,,,-0.40019997954,-0.00056,
,,,-0.40015998483,-0.00056,
,,,-0.40011999011,-0.00072,
,,,-0.40007999539,-0.00056,
,,,-0.40004000068,-0.00056,
,,,-0.39999997616,-0.00056,
,,,-0.39995998144,-0.00056,
,,,-0.39991998672,-0.00072,
,,,-0.39987999201,-0.00072,
,,,-0.39983999729,-0.00048,
,,,-0.39980000257,-0.00056,
,,,-0.39975997806,-0.00056,
,,,-0.39971998334,-0.00056,
,,,-0.39967998862,-0.00056,
,,,-0.39963999391,-0.00056,
,,,-0.39959999919,-0.00048,
,,,-0.39956000447,-0.00056,
,,,-0.39951997995,-0.00056,
,,,-0.39947998524,-0.00048,
,,,-0.39943999052,-0.00064,
,,,-0.39939999580,-0.00056,
,,,-0.39936000109,-0.00056,
,,,-0.39931997657,-0.00056,
,,,-0.39927998185,-0.00056,
,,,-0.39923998713,-0.00048,
,,,-0.39919999242,-0.00056,
,,,-0.39915999770,-0.00048,
,,,-0.39912000299,-0.00048,
,,,-0.39907997847,-0.00072,
,,,-0.39903998375,-0.00048,
,,,-0.39899998903,-0.00048,
,,,-0.39895999432,-0.00048,
,,,-0.39891999960,-0.00064,
,,,-0.39887997508,-0.00056,
,,,-0.39883998036,-0.00056,
,,,-0.39879998565,-0.00056,
,,,-0.39875999093,-0.00072,
,,,-0.39871999621,-0.00064,
,,,-0.39868000150,-0.00056,
,,,-0.39863997698,-0.00048,
,,,-0.39859998226,-0.00056,
,,,-0.39855998755,-0.00056,
,,,-0.39851999283,-0.00056,
,,,-0.39847999811,-0.00056,
,,,-0.39844000340,-0.00048,
,,,-0.39839997888,-0.00056,
,,,-0.39835998416,-0.00056,
,,,-0.39831998944,-0.00056,
,,,-0.39827999473,-0.00072,
,,,-0.39824000001,-0.00072,
,,,-0.39819997549,-0.00056,
,,,-0.39815998077,-0.00048,
,,,-0.39811998606,-0.00048,
,,,-0.39807999134,-0.00056,
,,,-0.39803999662,-0.00056,
,,,-0.39800000191,-0.00048,
,,,-0.39795997739,-0.00048,
,,,-0.39791998267,-0.00048,
,,,-0.39787998796,-0.00056,
,,,-0.39783999324,-0.00072,
,,,-0.39779999852,-0.00072,
,,,-0.39776000381,-0.00056,
,,,-0.39771997929,-0.00056,
,,,-0.39767998457,-0.00056,
,,,-0.39763998985,-0.00048,
,,,-0.39759999514,-0.00056,
,,,-0.39756000042,-0.00056,
,,,-0.39751997590,-0.00048,
,,,-0.39747998118,-0.00056,
,,,-0.39743998647,-0.00072,
,,,-0.39739999175,-0.00072,
,,,-0.39735999703,-0.00056,
,,,-0.39732000232,-0.00056,
,,,-0.39727997780,-0.00048,
,,,-0.39723998308,-0.00048,
,,,-0.39719998837,-0.00056,
,,,-0.39715999365,-0.00072,
,,,-0.39711999893,-0.00064,
,,,-0.39708000422,-0.00048,
,,,-0.39703997970,-0.00064,
,,,-0.39699998498,-0.00048,
,,,-0.39695999026,-0.00048,
,,,-0.39691999555,-0.00056,
,,,-0.39688000083,-0.00056,
,,,-0.39683997631,-0.00048,
,,,-0.39679998159,-0.00048,
,,,-0.39675998688,-0.00048,
,,,-0.39671999216,-0.00056,
,,,-0.39667999744,-0.00048,
,,,-0.39664000273,-0.00048,
,,,-0.39659997821,-0.00056,
,,,-0.39655998349,-0.00072,
