Record Length,20480,,Source,CH2
Sample Interval, CH2:0.0000199999995,,Second,Volt
Vertical Units, CH2:V,,-0.20479999483,1.20000
Vertical Scale, CH2:1.00,,-0.20477999747,1.52000
Vertical Offset, CH2:0.00,,-0.20476000011,0.48000
,,,-0.20319999754,1.56000
,,,-0.20318000019,1.84000
,,,-0.20315998793,2.08000
,,,-0.20313999057,2.32000
,,,-0.20311999321,2.40000
,,,-0.20309999585,2.56000
,,,-0.20307999849,2.56000
,,,-0.20306000113,2.48000
,,,-0.20303998888,2.72000
,,,-0.20301999152,2.72000
,,,-0.20299999416,2.56000
,,,-0.20297999680,2.60000
,,,-0.20295999944,2.56000
,,,-0.20294000208,2.44000
,,,-0.20291998982,2.36000
,,,-0.20289999247,2.12000
,,,-0.20287999511,1.96000
,,,-0.20285999775,1.64000
,,,-0.20284000039,1.40000
,,,-0.20281998813,1.32000
,,,-0.20279999077,1.08000
,,,-0.20277999341,0.64000
,,,-0.20275999606,0.40000
,,,-0.20273999870,0.20000
,,,-0.20272000134,0.00
,,,-0.20269998908,-0.16000
,,,-0.20267999172,-0.36000
,,,-0.20265999436,-0.60000
,,,-0.20263999701,-0.84000
,,,-0.20261999965,-1.00000
,,,-0.20260000229,-1.12000
,,,-0.20257999003,-1.12000
,,,-0.20255999267,-1.12000
,,,-0.20253999531,-1.20000
,,,-0.20251999795,-1.20000
,,,-0.20250000060,-1.12000
,,,-0.20247998834,-1.08000
,,,-0.20245999098,-1.04000
,,,-0.20243999362,-0.96000
,,,-0.20241999626,-0.64000
,,,-0.20239999890,-0.44000
,,,-0.20238000154,-0.40000
,,,-0.20235998929,0.00
,,,-0.20233999193,0.20000
,,,-0.20231999457,0.40000
,,,-0.20229999721,0.72000
,,,-0.20227999985,0.96000
,,,-0.20225998759,1.12000
,,,-0.20223999023,1.28000
,,,-0.20221999288,1.72000
,,,-0.20219999552,1.92000
,,,-0.20217999816,2.04000
,,,-0.20216000080,2.20000
,,,-0.20213998854,2.48000
,,,-0.20211999118,2.48000
,,,-0.20209999382,2.48000
,,,-0.20207999647,2.64000
,,,-0.20205999911,2.88000
,,,-0.20204000175,2.64000
,,,-0.20201998949,2.64000
,,,-0.20199999213,2.52000
,,,-0.20197999477,2.56000
,,,-0.20195999742,2.20000
,,,-0.20194000006,2.20000
,,,-0.20191998780,1.92000
,,,-0.20189999044,1.80000
,,,-0.20187999308,1.48000
,,,-0.20185999572,1.28000
,,,-0.20183999836,1.12000
,,,-0.20182000101,0.72000
,,,-0.20179998875,0.64000
,,,-0.20177999139,0.28000
,,,-0.20175999403,0.24000
,,,-0.20173999667,-0.28000
,,,-0.20171999931,-0.48000
,,,-0.20170000196,-0.60000
,,,-0.20167998970,-0.96000
,,,-0.20165999234,-1.04000
,,,-0.20163999498,-1.08000
,,,-0.20161999762,-1.20000
,,,-0.20160000026,-1.28000
,,,-0.20157998800,-1.36000
,,,-0.20155999064,-1.28000
,,,-0.20153999329,-1.40000
,,,-0.20151999593,-1.28000
,,,-0.20149999857,-1.12000
,,,-0.20148000121,-1.04000
,,,-0.20145998895,-1.04000
,,,-0.20143999159,-0.64000
,,,-0.20141999424,-0.56000
,,,-0.20139999688,-0.36000
,,,-0.20137999952,-0.20000
,,,-0.20136000216,0.08000
,,,-0.20133998990,0.44000
,,,-0.20131999254,0.60000
,,,-0.20129999518,0.84000
,,,-0.20127999783,1.16000
,,,-0.20126000047,1.48000
,,,-0.20123998821,1.56000
,,,-0.20121999085,1.84000
,,,-0.20119999349,1.92000
,,,-0.20117999613,2.16000
,,,-0.20115999877,2.20000
,,,-0.20114000142,2.48000
,,,-0.20111998916,2.40000
,,,-0.20109999180,2.64000
,,,-0.20107999444,2.60000
,,,-0.20105999708,2.60000
,,,-0.20103999972,2.56000
,,,-0.20102000237,2.60000
,,,-0.20099999011,2.56000
,,,-0.20097999275,2.44000
,,,-0.20095999539,2.20000
,,,-0.20093999803,2.12000
,,,-0.20092000067,1.76000
,,,-0.20089998841,1.48000
,,,-0.20087999105,1.44000
,,,-0.20085999370,1.12000
,,,-0.20083999634,0.88000
