Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000002000000 CH2:0.0000002000000,,Second,Volt,Volt
,,,-0.00201980001,-0.00800,10.40000
,,,-0.00201960001,-0.00800,10.40000
,,,-0.00201940001,0.00,10.40000
,,,-0.00201920001,-0.01600,10.40000
,,,-0.00201900001,-0.01600,10.40000
,,,-0.00201880001,-0.01600,10.40000
,,,-0.00201860000,-0.01600,10.40000
,,,-0.00201840000,-0.00800,10.40000
,,,-0.00201820000,0.00,10.40000
,,,-0.00201800000,-0.00800,10.40000
,,,-0.00201780000,-0.00800,10.40000
,,,-0.00201760000,-0.01600,10.40000
,,,-0.00201739999,0.00,10.40000
,,,-0.00201719999,0.00,10.40000
,,,-0.00201699999,0.00,10.40000
,,,-0.00201679999,0.00,10.40000
,,,-0.00201659999,0.00,10.40000
,,,-0.00201639999,0.00,10.40000
,,,-0.00201619999,0.00,10.40000
,,,-0.00201599998,0.00,10.40000
,,,-0.00201579998,0.00,10.40000
,,,-0.00201559998,0.00,10.40000
,,,-0.00201539998,0.00,10.40000
,,,-0.00201519998,0.00,10.40000
,,,-0.00201499998,0.00,10.40000
,,,-0.00201479997,0.00,10.40000
,,,-0.00201459997,0.00,10.40000
,,,-0.00201439997,0.00,10.40000
,,,-0.00201419997,0.00,10.40000
,,,-0.00201399997,0.00800,10.40000
,,,-0.00201379997,0.00,10.40000
,,,-0.00201359997,0.00,10.40000
,,,-0.00201339996,0.00,10.40000
,,,-0.00201319996,0.00800,10.40000
,,,-0.00201299996,0.00,10.40000
,,,-0.00201279996,0.00,10.40000
,,,-0.00201259996,0.00,10.40000
,,,-0.00201239996,0.00800,10.40000
,,,-0.00201219996,0.00,10.40000
,,,-0.00201199995,0.00,10.40000
,,,-0.00201179995,0.00800,10.40000
,,,-0.00201159995,0.00,10.40000
,,,-0.00201139995,0.00800,10.40000
,,,-0.00201119995,0.00800,10.40000
,,,-0.00201099995,0.00800,10.40000
,,,-0.00201079994,0.00800,10.40000
,,,-0.00201059994,0.00800,10.40000
,,,-0.00201039994,0.00800,10.40000
,,,-0.00201019994,0.00,10.40000
,,,-0.00200999994,0.00800,10.40000
,,,-0.00200979994,0.00800,10.40000
,,,-0.00200959994,0.00800,10.40000
,,,-0.00200939993,0.00800,10.40000
,,,-0.00200919993,0.00800,10.40000
,,,-0.00200899993,0.00800,10.40000
,,,-0.00200879993,0.00800,10.40000
,,,-0.00200859993,0.00800,10.40000
,,,-0.00200839993,0.00800,10.40000
,,,-0.00200819992,0.00800,10.40000
,,,-0.00200799992,0.00800,10.40000
,,,-0.00200779992,0.00800,10.40000
