vce	Ie(Q1)
-2.430000000000033e+00	1.577755e-03
-2.420000000000034e+00	1.577335e-03
-2.410000000000034e+00	1.576914e-03
-2.400000000000034e+00	1.576493e-03
-2.390000000000034e+00	1.576073e-03
-2.380000000000035e+00	1.575652e-03
-2.370000000000035e+00	1.575232e-03
-2.360000000000035e+00	1.574811e-03
-2.350000000000035e+00	1.574391e-03
-2.340000000000035e+00	1.573970e-03
-2.330000000000036e+00	1.573549e-03
-2.320000000000036e+00	1.573129e-03
-2.310000000000036e+00	1.572708e-03
-2.300000000000036e+00	1.572288e-03
-2.290000000000036e+00	1.571867e-03
-2.280000000000037e+00	1.571447e-03
-2.270000000000037e+00	1.571026e-03
-2.260000000000037e+00	1.570605e-03
-2.250000000000037e+00	1.570185e-03
-2.240000000000038e+00	1.569764e-03
-2.230000000000038e+00	1.569344e-03
-2.220000000000038e+00	1.568923e-03
-2.210000000000038e+00	1.568503e-03
-2.200000000000038e+00	1.568082e-03
-2.190000000000039e+00	1.567661e-03
-2.180000000000039e+00	1.567241e-03
-2.170000000000039e+00	1.566820e-03
-2.160000000000039e+00	1.566400e-03
-2.150000000000039e+00	1.565979e-03
-2.140000000000040e+00	1.565558e-03
-2.130000000000040e+00	1.565138e-03
-2.120000000000040e+00	1.564717e-03
-2.110000000000040e+00	1.564297e-03
-2.100000000000041e+00	1.563876e-03
-2.090000000000041e+00	1.563456e-03
-2.080000000000041e+00	1.563035e-03
-2.070000000000041e+00	1.562614e-03
-2.060000000000041e+00	1.562194e-03
-2.050000000000042e+00	1.561773e-03
-2.040000000000042e+00	1.561353e-03
-2.030000000000042e+00	1.560932e-03
-2.020000000000042e+00	1.560512e-03
-2.010000000000042e+00	1.560091e-03
-2.000000000000043e+00	1.559670e-03
-1.990000000000043e+00	1.559250e-03
-1.980000000000043e+00	1.558829e-03
-1.970000000000043e+00	1.558409e-03
-1.960000000000043e+00	1.557988e-03
-1.950000000000043e+00	1.557568e-03
-1.940000000000043e+00	1.557147e-03
-1.930000000000043e+00	1.556726e-03
-1.920000000000043e+00	1.556306e-03
-1.910000000000043e+00	1.555885e-03
-1.900000000000043e+00	1.555465e-03
-1.890000000000043e+00	1.555044e-03
-1.880000000000043e+00	1.554624e-03
-1.870000000000043e+00	1.554203e-03
