vbe	Ib(Q1)
-5.579999999999998e-01	-4.792605e-06
-5.569999999999998e-01	-4.613463e-06
-5.559999999999998e-01	-4.441041e-06
-5.549999999999998e-01	-4.275084e-06
-5.539999999999998e-01	-4.115352e-06
-5.529999999999998e-01	-3.961610e-06
-5.519999999999998e-01	-3.813633e-06
-5.509999999999998e-01	-3.671206e-06
-5.499999999999998e-01	-3.534120e-06
-5.489999999999998e-01	-3.402174e-06
-5.479999999999998e-01	-3.275175e-06
-5.469999999999998e-01	-3.152938e-06
-5.459999999999998e-01	-3.035284e-06
-5.449999999999998e-01	-2.922041e-06
-5.439999999999998e-01	-2.813043e-06
-5.429999999999998e-01	-2.708131e-06
-5.419999999999998e-01	-2.607152e-06
-5.409999999999998e-01	-2.509957e-06
-5.399999999999998e-01	-2.416404e-06
-5.389999999999998e-01	-2.326357e-06
-5.379999999999998e-01	-2.239684e-06
-5.369999999999998e-01	-2.156259e-06
-5.359999999999998e-01	-2.075958e-06
-5.349999999999998e-01	-1.998666e-06
-5.339999999999998e-01	-1.924269e-06
-5.329999999999998e-01	-1.852658e-06
-5.319999999999998e-01	-1.783728e-06
-5.309999999999998e-01	-1.717379e-06
-5.299999999999998e-01	-1.653514e-06
-5.289999999999998e-01	-1.592039e-06
-5.279999999999998e-01	-1.532865e-06
-5.269999999999998e-01	-1.475906e-06
-5.259999999999998e-01	-1.421078e-06
-5.249999999999998e-01	-1.368300e-06
-5.239999999999998e-01	-1.317497e-06
-5.229999999999998e-01	-1.268594e-06
-5.219999999999998e-01	-1.221520e-06
-5.209999999999998e-01	-1.176205e-06
-5.199999999999998e-01	-1.132585e-06
-5.189999999999998e-01	-1.090595e-06
-5.179999999999998e-01	-1.050173e-06
-5.169999999999998e-01	-1.011262e-06
-5.159999999999998e-01	-9.738047e-07
-5.149999999999998e-01	-9.377462e-07
-5.139999999999998e-01	-9.030340e-07
-5.129999999999998e-01	-8.696178e-07
-5.119999999999998e-01	-8.374489e-07
-5.109999999999998e-01	-8.064804e-07
-5.099999999999998e-01	-7.766674e-07
-5.089999999999998e-01	-7.479665e-07
-5.079999999999998e-01	-7.203360e-07
-5.069999999999998e-01	-6.937358e-07
-5.059999999999998e-01	-6.681271e-07
-5.049999999999998e-01	-6.434730e-07
-5.039999999999998e-01	-6.197374e-07
-5.029999999999998e-01	-5.968861e-07
-5.019999999999998e-01	-5.748859e-07
-5.009999999999998e-01	-5.537048e-07
-4.999999999999998e-01	-5.333122e-07
-4.989999999999998e-01	-5.136786e-07
-4.979999999999998e-01	-4.947755e-07
-4.969999999999998e-01	-4.765756e-07
-4.959999999999998e-01	-4.590524e-07
-4.949999999999998e-01	-4.421808e-07
-4.939999999999998e-01	-4.259362e-07
-4.929999999999998e-01	-4.102953e-07
-4.919999999999998e-01	-3.952353e-07
-4.909999999999998e-01	-3.807347e-07
-4.899999999999998e-01	-3.667724e-07
-4.889999999999998e-01	-3.533283e-07
-4.879999999999998e-01	-3.403831e-07
-4.869999999999998e-01	-3.279180e-07
-4.859999999999998e-01	-3.159152e-07
-4.849999999999998e-01	-3.043573e-07
-4.839999999999998e-01	-2.932278e-07
-4.829999999999998e-01	-2.825105e-07
-4.819999999999998e-01	-2.721902e-07
-4.809999999999998e-01	-2.622520e-07
-4.799999999999998e-01	-2.526816e-07
-4.789999999999998e-01	-2.434653e-07
-4.779999999999998e-01	-2.345898e-07
-4.769999999999998e-01	-2.260425e-07
-4.759999999999998e-01	-2.178111e-07
-4.749999999999998e-01	-2.098838e-07
-4.739999999999998e-01	-2.022493e-07
-4.729999999999998e-01	-1.948967e-07
-4.719999999999998e-01	-1.878154e-07
-4.709999999999998e-01	-1.809953e-07
-4.699999999999998e-01	-1.744268e-07
-4.689999999999998e-01	-1.681004e-07
-4.679999999999997e-01	-1.620071e-07
-4.669999999999997e-01	-1.561383e-07
-4.659999999999997e-01	-1.504855e-07
-4.649999999999997e-01	-1.450408e-07
-4.639999999999997e-01	-1.397964e-07
-4.629999999999997e-01	-1.347448e-07
-4.619999999999997e-01	-1.298789e-07
-4.609999999999997e-01	-1.251918e-07
-4.599999999999997e-01	-1.206769e-07
-4.589999999999997e-01	-1.163276e-07
-4.579999999999997e-01	-1.121380e-07
-4.569999999999997e-01	-1.081020e-07
-4.559999999999997e-01	-1.042140e-07
-4.549999999999997e-01	-1.004684e-07
-4.539999999999997e-01	-9.686005e-08
-4.529999999999997e-01	-9.338375e-08
-4.519999999999997e-01	-9.003465e-08
-4.509999999999997e-01	-8.680803e-08
-4.499999999999997e-01	-8.369935e-08
-4.489999999999997e-01	-8.070424e-08
-4.479999999999997e-01	-7.781850e-08
-4.469999999999997e-01	-7.503808e-08
-4.459999999999997e-01	-7.235908e-08
-4.449999999999997e-01	-6.977775e-08
-4.439999999999997e-01	-6.729048e-08
-4.429999999999997e-01	-6.489379e-08
-4.419999999999997e-01	-6.258434e-08
-4.409999999999997e-01	-6.035890e-08
-4.399999999999997e-01	-5.821437e-08
-4.389999999999997e-01	-5.614776e-08
-4.379999999999997e-01	-5.415621e-08
-4.369999999999997e-01	-5.223693e-08
-4.359999999999997e-01	-5.038727e-08
-4.349999999999997e-01	-4.860467e-08
-4.339999999999997e-01	-4.688664e-08
-4.329999999999997e-01	-4.523082e-08
-4.319999999999997e-01	-4.363491e-08
-4.309999999999997e-01	-4.209670e-08
-4.299999999999997e-01	-4.061409e-08
-4.289999999999997e-01	-3.918502e-08
-4.279999999999997e-01	-3.780752e-08
-4.269999999999997e-01	-3.647970e-08
-4.259999999999997e-01	-3.519975e-08
-4.249999999999997e-01	-3.396589e-08
-4.239999999999997e-01	-3.277645e-08
-4.229999999999997e-01	-3.162979e-08
