vbe	Ic(Q1)
-7.000000000000000e-01	-1.200872e-01
-6.990000000000000e-01	-1.166241e-01
-6.980000000000000e-01	-1.132371e-01
-6.970000000000000e-01	-1.099256e-01
-6.960000000000000e-01	-1.066889e-01
-6.950000000000000e-01	-1.035265e-01
-6.940000000000000e-01	-1.004375e-01
-6.929999999999999e-01	-9.742120e-02
-6.919999999999999e-01	-9.447689e-02
-6.909999999999999e-01	-9.160373e-02
-6.899999999999999e-01	-8.880088e-02
-6.889999999999999e-01	-8.606748e-02
-6.879999999999999e-01	-8.340260e-02
-6.869999999999999e-01	-8.080536e-02
-6.859999999999999e-01	-7.827479e-02
-6.849999999999999e-01	-7.580992e-02
-6.839999999999999e-01	-7.340975e-02
-6.829999999999999e-01	-7.107329e-02
-6.819999999999999e-01	-6.879949e-02
-6.809999999999999e-01	-6.658731e-02
-6.799999999999999e-01	-6.443569e-02
-6.789999999999999e-01	-6.234356e-02
-6.779999999999999e-01	-6.030982e-02
-6.769999999999999e-01	-5.833340e-02
-6.759999999999999e-01	-5.641318e-02
-6.749999999999999e-01	-5.454806e-02
-6.739999999999999e-01	-5.273693e-02
-6.729999999999999e-01	-5.097866e-02
-6.719999999999999e-01	-4.927214e-02
-6.709999999999999e-01	-4.761625e-02
-6.699999999999999e-01	-4.600989e-02
-6.689999999999999e-01	-4.445193e-02
-6.679999999999999e-01	-4.294126e-02
-6.669999999999999e-01	-4.147678e-02
-6.659999999999999e-01	-4.005739e-02
-6.649999999999999e-01	-3.868201e-02
-6.639999999999999e-01	-3.734955e-02
-6.629999999999999e-01	-3.605894e-02
-6.619999999999999e-01	-3.480912e-02
-6.609999999999999e-01	-3.359905e-02
-6.599999999999999e-01	-3.242767e-02
-6.589999999999999e-01	-3.129397e-02
-6.579999999999999e-01	-3.019695e-02
-6.569999999999999e-01	-2.913560e-02
-6.559999999999999e-01	-2.810894e-02
-6.549999999999999e-01	-2.711601e-02
-6.539999999999999e-01	-2.615587e-02
-6.529999999999999e-01	-2.522757e-02
-6.519999999999999e-01	-2.433021e-02
-6.509999999999999e-01	-2.346289e-02
-6.499999999999999e-01	-2.262472e-02
-6.489999999999999e-01	-2.181485e-02
-6.479999999999999e-01	-2.103243e-02
-6.469999999999999e-01	-2.027662e-02
-6.459999999999999e-01	-1.954664e-02
-6.449999999999999e-01	-1.884167e-02
-6.439999999999999e-01	-1.816096e-02
-6.429999999999999e-01	-1.750374e-02
-6.419999999999999e-01	-1.686928e-02
-6.409999999999999e-01	-1.625686e-02
-6.399999999999999e-01	-1.566579e-02
-6.389999999999999e-01	-1.509537e-02
-6.379999999999999e-01	-1.454495e-02
-6.369999999999999e-01	-1.401388e-02
-6.359999999999999e-01	-1.350152e-02
-6.349999999999999e-01	-1.300727e-02
-6.339999999999999e-01	-1.253053e-02
-6.329999999999999e-01	-1.207072e-02
-6.319999999999999e-01	-1.162727e-02
-6.309999999999999e-01	-1.119965e-02
-6.299999999999999e-01	-1.078731e-02
-6.289999999999999e-01	-1.038974e-02
-6.279999999999999e-01	-1.000645e-02
-6.269999999999999e-01	-9.636945e-03
-6.259999999999999e-01	-9.280755e-03
-6.249999999999999e-01	-8.937424e-03
-6.239999999999999e-01	-8.606510e-03
-6.229999999999999e-01	-8.287585e-03
-6.219999999999999e-01	-7.980232e-03
-6.209999999999999e-01	-7.684049e-03
-6.199999999999999e-01	-7.398647e-03
-6.189999999999999e-01	-7.123648e-03
-6.179999999999999e-01	-6.858688e-03
-6.169999999999999e-01	-6.603412e-03
-6.159999999999999e-01	-6.357480e-03
-6.149999999999999e-01	-6.120561e-03
-6.139999999999999e-01	-5.892335e-03
-6.129999999999999e-01	-5.672492e-03
-6.119999999999999e-01	-5.460734e-03
-6.109999999999999e-01	-5.256773e-03
-6.099999999999999e-01	-5.060329e-03
-6.089999999999999e-01	-4.871132e-03
-6.079999999999999e-01	-4.688921e-03
-6.069999999999999e-01	-4.513446e-03
-6.059999999999999e-01	-4.344463e-03
-6.049999999999999e-01	-4.181737e-03
-6.039999999999999e-01	-4.025041e-03
-6.029999999999999e-01	-3.874157e-03
-6.019999999999999e-01	-3.728874e-03
-6.009999999999999e-01	-3.588988e-03
-5.999999999999999e-01	-3.454302e-03
-5.989999999999999e-01	-3.324625e-03
-5.979999999999999e-01	-3.199776e-03
-5.969999999999999e-01	-3.079578e-03
-5.959999999999999e-01	-2.963859e-03
-5.949999999999999e-01	-2.852456e-03
-5.939999999999999e-01	-2.745210e-03
-5.929999999999999e-01	-2.641968e-03
-5.919999999999999e-01	-2.542583e-03
-5.909999999999999e-01	-2.446912e-03
-5.899999999999999e-01	-2.354819e-03
-5.889999999999999e-01	-2.266171e-03
-5.879999999999999e-01	-2.180841e-03
