vbe	Ie(Q1)
-6.759999999999999e-01	5.680455e-02
-6.749999999999999e-01	5.492629e-02
-6.739999999999999e-01	5.310240e-02
-6.729999999999999e-01	5.133177e-02
-6.719999999999999e-01	4.961326e-02
-6.709999999999999e-01	4.794576e-02
-6.699999999999999e-01	4.632813e-02
-6.689999999999999e-01	4.475926e-02
-6.679999999999999e-01	4.323802e-02
-6.669999999999999e-01	4.176331e-02
-6.659999999999999e-01	4.033400e-02
-6.649999999999999e-01	3.894903e-02
-6.639999999999999e-01	3.760727e-02
-6.629999999999999e-01	3.630767e-02
-6.619999999999999e-01	3.504916e-02
-6.609999999999999e-01	3.383066e-02
-6.599999999999999e-01	3.265114e-02
-6.589999999999999e-01	3.150957e-02
-6.579999999999999e-01	3.040493e-02
-6.569999999999999e-01	2.933621e-02
-6.559999999999999e-01	2.830244e-02
-6.549999999999999e-01	2.730263e-02
-6.539999999999999e-01	2.633584e-02
-6.529999999999999e-01	2.540112e-02
-6.519999999999999e-01	2.449755e-02
-6.509999999999999e-01	2.362423e-02
-6.499999999999999e-01	2.278027e-02
-6.489999999999999e-01	2.196481e-02
-6.479999999999999e-01	2.117698e-02
-6.469999999999999e-01	2.041596e-02
-6.459999999999999e-01	1.968094e-02
-6.449999999999999e-01	1.897111e-02
-6.439999999999999e-01	1.828571e-02
-6.429999999999999e-01	1.762396e-02
-6.419999999999999e-01	1.698513e-02
-6.409999999999999e-01	1.636850e-02
-6.399999999999999e-01	1.577335e-02
-6.389999999999999e-01	1.519901e-02
-6.379999999999999e-01	1.464481e-02
-6.369999999999999e-01	1.411008e-02
-6.359999999999999e-01	1.359421e-02
-6.349999999999999e-01	1.309656e-02
-6.339999999999999e-01	1.261654e-02
-6.329999999999999e-01	1.215357e-02
-6.319999999999999e-01	1.170708e-02
-6.309999999999999e-01	1.127652e-02
-6.299999999999999e-01	1.086135e-02
-6.289999999999999e-01	1.046106e-02
-6.279999999999999e-01	1.007513e-02
-6.269999999999999e-01	9.703091e-03
-6.259999999999999e-01	9.344458e-03
-6.249999999999999e-01	8.998772e-03
-6.239999999999999e-01	8.665589e-03
-6.229999999999999e-01	8.344476e-03
-6.219999999999999e-01	8.035015e-03
-6.209999999999999e-01	7.736802e-03
-6.199999999999999e-01	7.449444e-03
-6.189999999999999e-01	7.172560e-03
-6.179999999999999e-01	6.905784e-03
-6.169999999999999e-01	6.648759e-03
-6.159999999999999e-01	6.401142e-03
-6.149999999999999e-01	6.162599e-03
-6.139999999999999e-01	5.932809e-03
-6.129999999999999e-01	5.711461e-03
-6.119999999999999e-01	5.498252e-03
-6.109999999999999e-01	5.292894e-03
-6.099999999999999e-01	5.095104e-03
-6.089999999999999e-01	4.904611e-03
-6.079999999999999e-01	4.721152e-03
-6.069999999999999e-01	4.544475e-03
-6.059999999999999e-01	4.374334e-03
-6.049999999999999e-01	4.210494e-03
-6.039999999999999e-01	4.052725e-03
-6.029999999999999e-01	3.900807e-03
-6.019999999999999e-01	3.754529e-03
-6.009999999999999e-01	3.613684e-03
-5.999999999999999e-01	3.478075e-03
-5.989999999999999e-01	3.347511e-03
-5.979999999999999e-01	3.221807e-03
-5.969999999999999e-01	3.100784e-03
-5.959999999999999e-01	2.984273e-03
-5.949999999999999e-01	2.872107e-03
-5.939999999999999e-01	2.764126e-03
-5.929999999999999e-01	2.660176e-03
-5.919999999999999e-01	2.560110e-03
-5.909999999999999e-01	2.463783e-03
-5.899999999999999e-01	2.371059e-03
-5.889999999999999e-01	2.281803e-03
-5.879999999999999e-01	2.195888e-03
-5.869999999999999e-01	2.113190e-03
-5.859999999999999e-01	2.033591e-03
-5.849999999999999e-01	1.956974e-03
-5.839999999999999e-01	1.883229e-03
-5.829999999999999e-01	1.812250e-03
-5.819999999999999e-01	1.743935e-03
-5.809999999999998e-01	1.678183e-03
-5.799999999999998e-01	1.614900e-03
-5.789999999999998e-01	1.553993e-03
-5.779999999999998e-01	1.495375e-03
-5.769999999999998e-01	1.438960e-03
-5.759999999999998e-01	1.384665e-03
-5.749999999999998e-01	1.332411e-03
-5.739999999999998e-01	1.282123e-03
-5.729999999999998e-01	1.233727e-03
-5.719999999999998e-01	1.187152e-03
-5.709999999999998e-01	1.142331e-03
-5.699999999999998e-01	1.099196e-03
-5.689999999999998e-01	1.057686e-03
-5.679999999999998e-01	1.017739e-03
-5.669999999999998e-01	9.792973e-04
-5.659999999999998e-01	9.423040e-04
-5.649999999999998e-01	9.067047e-04
-5.639999999999998e-01	8.724473e-04
-5.629999999999998e-01	8.394815e-04
-5.619999999999998e-01	8.077586e-04
-5.609999999999998e-01	7.772321e-04
-5.599999999999998e-01	7.478570e-04
-5.589999999999998e-01	7.195901e-04
-5.579999999999998e-01	6.923896e-04
-5.569999999999998e-01	6.662156e-04
-5.559999999999998e-01	6.410293e-04
-5.549999999999998e-01	6.167938e-04
-5.539999999999998e-01	5.934730e-04
-5.529999999999998e-01	5.710328e-04
-5.519999999999998e-01	5.494399e-04
-5.509999999999998e-01	5.286623e-04
-5.499999999999998e-01	5.086695e-04
-5.489999999999998e-01	4.894318e-04
-5.479999999999998e-01	4.709208e-04
-5.469999999999998e-01	4.531091e-04
-5.459999999999998e-01	4.359703e-04
-5.449999999999998e-01	4.194791e-04
-5.439999999999998e-01	4.036111e-04
-5.429999999999998e-01	3.883427e-04
-5.419999999999998e-01	3.736514e-04
-5.409999999999998e-01	3.595154e-04
-5.399999999999998e-01	3.459137e-04
-5.389999999999998e-01	3.328262e-04
-5.379999999999998e-01	3.202334e-04
-5.369999999999998e-01	3.081168e-04
-5.359999999999998e-01	2.964582e-04
-5.349999999999998e-01	2.852405e-04
-5.339999999999998e-01	2.744469e-04
-5.329999999999998e-01	2.640616e-04
-5.319999999999998e-01	2.540689e-04
-5.309999999999998e-01	2.444542e-04
-5.299999999999998e-01	2.352031e-04
-5.289999999999998e-01	2.263020e-04
-5.279999999999998e-01	2.177375e-04
-5.269999999999998e-01	2.094970e-04
-5.259999999999998e-01	2.015682e-04
-5.249999999999998e-01	1.939393e-04
-5.239999999999998e-01	1.865990e-04
-5.229999999999998e-01	1.795365e-04
-5.219999999999998e-01	1.727412e-04
-5.209999999999998e-01	1.662029e-04
-5.199999999999998e-01	1.599120e-04
-5.189999999999998e-01	1.538592e-04
-5.179999999999998e-01	1.480354e-04
-5.169999999999998e-01	1.424320e-04
-5.159999999999998e-01	1.370406e-04
-5.149999999999998e-01	1.318532e-04
-5.139999999999998e-01	1.268621e-04
-5.129999999999998e-01	1.220599e-04
-5.119999999999998e-01	1.174394e-04
-5.109999999999998e-01	1.129938e-04
