time	Id(M1)
Step Information: Vgs=100m  (Step: 1/5)
4.048575970344245e-03	1.215694e-05
6.048575970344246e-03	1.788887e-05
9.175578059311511e-03	2.651115e-05
1.236093088967265e-02	3.489214e-05
1.636093088967266e-02	4.487994e-05
1.848182000000000e-02	4.994748e-05
2.368182000000000e-02	6.174805e-05
2.757273000000000e-02	7.003496e-05
3.477273000000000e-02	8.424876e-05
3.786364000000000e-02	8.993527e-05
4.615455000000000e-02	1.040565e-04
5.604545000000000e-02	1.189182e-04
6.513636000000000e-02	1.308422e-04
7.522727000000000e-02	1.422975e-04
8.631818000000001e-02	1.529400e-04
1.003000000000000e-01	1.638857e-04
1.195000000000000e-01	1.755529e-04
1.459444400000000e-01	1.877368e-04
1.923888900000000e-01	2.042538e-04
2.388333300000000e-01	2.184192e-04
2.842777800000000e-01	2.314382e-04
3.297222200000000e-01	2.440959e-04
3.751666700000000e-01	2.565845e-04
4.216111100000000e-01	2.692674e-04
4.680555600000000e-01	2.819183e-04
5.000000000000000e-01	2.906156e-04
Step Information: Vgs=500m  (Step: 5/5)
0.000000000000000e+00	0.000000e+00
5.242879851721227e-04	1.645957e-06
1.048575970344245e-03	3.280734e-06
2.048575970344245e-03	6.368211e-06
4.048575970344245e-03	1.242524e-05
7.048575970344246e-03	2.122643e-05
9.175578059311511e-03	2.726834e-05
1.336093088967266e-02	3.870243e-05
1.848182000000000e-02	5.192329e-05
2.468182000000000e-02	6.688903e-05
2.757273000000000e-02	7.350536e-05
3.577273000000000e-02	9.112257e-05
4.486364000000001e-02	1.088404e-04
5.524545000000000e-02	1.269917e-04
6.513636000000000e-02	1.424189e-04
7.522727000000000e-02	1.564352e-04
8.631818000000001e-02	1.699701e-04
1.003000000000000e-01	1.844508e-04
1.175000000000000e-01	1.987887e-04
1.395000000000000e-01	2.128140e-04
1.469444400000000e-01	2.167635e-04
1.819444400000000e-01	2.320830e-04
1.953888900000000e-01	2.370659e-04
2.388333300000000e-01	2.514884e-04
2.842777800000000e-01	2.651654e-04
3.297222200000000e-01	2.781998e-04
3.751666700000000e-01	2.909203e-04
4.216111100000000e-01	3.037543e-04
4.680555600000000e-01	3.165020e-04
5.000000000000000e-01	3.252443e-04
